keyword,type
confirm,button
conferma,button
confirmar,button
bestätigen,button
bevestigen,button
potwierdź,button
potwierdzic,button
подтвердить,button
onayla,button
confirmer,button
confirmar,button
success,success
confermata,success
confirmed,success
validata,success
confirmada,success
confirmado,success
confirmé,success
confirmée,success
bestätigt,success
bevestigd,success
potwierdzone,success
подтверждено,success
onaylandı,success
onaylandi,success
prenotazione confermata,success
reservation confirmed,success
reserva confirmada,success
réservation confirmée,success
reservation confirmee,success
buchung bestätigt,success
buchung bestatigt,success
reservering bevestigd,success
rezerwacja potwierdzona,success
бронирование подтверждено,success
rezervasyon onaylandı,success
rezervasyon onaylandi,success
già confermata,already
already confirmed,already
ya confirmada,already
déjà confirmée,already
deja confirmee,already
bereits bestätigt,already
bereits bestatigt,already
reeds bevestigd,already
już potwierdzone,already
juz potwierdzone,already
уже подтверждено,already
zaten onaylandı,already
zaten onaylandi,already
